config,app,input,threads,run,cycles,l2_miss_stall_cycles,mpki,status
clang-plain,bfs,kron24,64,1,329148662117,177705431270,18.4481,ok
clang-chonk,bfs,kron24,64,1,305291361944,158400856263,17.5557,ok
clang-plainje,bfs,kron24,64,1,360838923592,201103415788,19.0647,ok
clang-chonk-scoped,bfs,kron24,64,1,314492915793,165547745722,17.7291,ok
clang-plain,cc,kron24,64,1,84798630121,36249702695,22.4175,ok
clang-chonk,cc,kron24,64,1,88700166576,39286472699,22.8334,ok
clang-plainje,cc,kron24,64,1,87265780484,39163048675,23.6756,ok
clang-chonk-scoped,cc,kron24,64,1,87743734902,36541534593,21.1450,ok
clang-plain,pr,kron24,64,1,987046472905,715062914359,131.9850,ok
clang-chonk,pr,kron24,64,1,968583662102,698134818285,135.0505,ok
clang-plainje,pr,kron24,64,1,978496525772,707765324520,133.4060,ok
clang-chonk-scoped,pr,kron24,64,1,966125082696,698771330241,132.5323,ok
clang-plain,bc,kron24,64,1,3181410586306,1772985741250,38.0587,ok
clang-chonk,bc,kron24,64,1,2939695501708,1530306788158,38.5850,ok
clang-plainje,bc,kron24,64,1,3217823845689,1806398449626,38.1540,ok
clang-chonk-scoped,bc,kron24,64,1,3143592475200,1728330454609,37.4514,ok
clang-plain,sssp,kron24,64,1,3303426643755,1786311406076,29.2539,ok
clang-chonk,sssp,kron24,64,1,2288945049977,969636061679,27.5417,ok
clang-plainje,sssp,kron24,64,1,3124752425187,1722296019080,29.1940,ok
clang-chonk-scoped,sssp,kron24,64,1,3204416755972,1270144826066,22.4846,ok
clang-plain,tc,kron24,64,1,4794322309600,399127626277,13.0481,ok
clang-chonk,tc,kron24,64,1,4898349753489,427282595317,12.8789,ok
clang-plainje,tc,kron24,64,1,4843480337758,432769071831,13.1543,ok
clang-chonk-scoped,tc,kron24,64,1,4886154609026,397945897365,13.0653,ok
clang-plain,bfs,kron24,64,2,329769139130,176030623061,19.0834,ok
clang-chonk,bfs,kron24,64,2,324380680344,172170791234,18.6618,ok
clang-plainje,bfs,kron24,64,2,306124395186,156872372069,18.3042,ok
clang-plain,bfs,kron24,64,3,337118811577,178918340431,19.0575,ok
clang-chonk,bfs,kron24,64,3,350864424482,193105486031,18.6700,ok
clang-plainje,bfs,kron24,64,3,285521416019,140874145719,17.7881,ok
clang-plain,bfs,kron24,64,4,314302570036,162350783581,18.4564,ok
clang-chonk,bfs,kron24,64,4,339824524094,182515573241,18.7199,ok
clang-plainje,bfs,kron24,64,4,284928241031,140491759626,17.7602,ok
clang-plain,bfs,kron24,64,5,280486461193,136245385619,17.5878,ok
clang-chonk,bfs,kron24,64,5,327162681804,171793478738,18.2791,ok
clang-plainje,bfs,kron24,64,5,320289385543,170376623659,18.4259,ok
clang-plain,cc,kron24,64,2,85170049095,36275672524,22.7331,ok
clang-chonk,cc,kron24,64,2,94356064795,42832752892,24.3559,ok
clang-plainje,cc,kron24,64,2,85107455843,36954464040,23.5304,ok
clang-plain,cc,kron24,64,3,86836521455,37485686876,23.0012,ok
clang-chonk,cc,kron24,64,3,83276609038,35596980409,23.1172,ok
clang-plainje,cc,kron24,64,3,84718355266,36164158152,22.9195,ok
clang-plain,cc,kron24,64,4,93114611473,42438680259,24.7464,ok
clang-chonk,cc,kron24,64,4,85307929090,37021806876,23.4181,ok
clang-plainje,cc,kron24,64,4,84297803580,36012289729,22.9903,ok
clang-plain,cc,kron24,64,5,84198824416,36308038212,23.3052,ok
clang-chonk,cc,kron24,64,5,83953043243,35915297160,22.9881,ok
clang-plainje,cc,kron24,64,5,84905063856,36404996593,23.0057,ok
clang-plain,pr,kron24,64,2,809412032392,583415098992,127.3640,ok
clang-chonk,pr,kron24,64,2,872528523145,622532877048,130.1632,ok
clang-plainje,pr,kron24,64,2,782731901943,565887912272,127.1939,ok
clang-plain,pr,kron24,64,3,790453717275,563375173507,128.6330,ok
clang-chonk,pr,kron24,64,3,806363865614,582631011682,127.8087,ok
clang-plainje,pr,kron24,64,3,789594101568,566291390411,127.9436,ok
clang-plain,pr,kron24,64,4,698425822814,509836618051,125.0867,ok
clang-chonk,pr,kron24,64,4,878638753288,640032192140,128.2576,ok
clang-plainje,pr,kron24,64,4,842888249610,601588655358,128.2403,ok
clang-plain,pr,kron24,64,5,814184513756,591293483098,126.6850,ok
clang-chonk,pr,kron24,64,5,813610205937,583353690019,129.9665,ok
clang-plainje,pr,kron24,64,5,694237278541,498948191950,126.7786,ok
clang-plain,bc,kron24,64,2,3106189411665,1694645505647,37.6755,ok
clang-chonk,bc,kron24,64,2,3106105860198,1704140063268,37.9059,ok
clang-plainje,bc,kron24,64,2,3076516812945,1688351241330,37.9326,ok
clang-plain,bc,kron24,64,3,3089242568665,1701138432481,38.1085,ok
clang-chonk,bc,kron24,64,3,2893437013758,1485313643048,36.3003,ok
clang-plainje,bc,kron24,64,3,2890430586737,1502313150830,36.7557,ok
clang-plain,bc,kron24,64,4,2836646549187,1431817567688,38.6598,ok
clang-chonk,bc,kron24,64,4,3089767038588,1685576341722,37.3186,ok
clang-plainje,bc,kron24,64,4,2869650249401,1480763468743,36.2094,ok
clang-plain,bc,kron24,64,5,2880122356229,1484207031537,37.0621,ok
clang-chonk,bc,kron24,64,5,3338305076463,1916243238190,38.1493,ok
clang-plainje,bc,kron24,64,5,3081082894624,1685334803296,37.7454,ok
clang-plain,sssp,kron24,64,2,3196942105058,1768996375285,29.3622,ok
clang-chonk,sssp,kron24,64,2,2949328245750,1593116657041,28.1697,ok
clang-plainje,sssp,kron24,64,2,3152793961445,1738808399747,29.1555,ok
clang-plain,sssp,kron24,64,3,3146365949048,1734908787090,29.2115,ok
clang-chonk,sssp,kron24,64,3,3016430120893,1635299070289,28.1325,ok
clang-plainje,sssp,kron24,64,3,3258027128227,1814281805816,29.6239,ok
