config,app,input,threads,run,time_s,status
clang-plain,bfs,kron26,64,1,0.11267,ok
clang-plainje,bfs,kron26,64,1,0.10134,ok
clang-chonk,bfs,kron26,64,1,0.09584,ok
clang-plain,bfs,kron26,64,2,0.09532,ok
clang-plainje,bfs,kron26,64,2,0.09900,ok
clang-chonk,bfs,kron26,64,2,0.09652,ok
clang-plain,bfs,kron26,64,3,0.10789,ok
clang-plainje,bfs,kron26,64,3,0.10409,ok
clang-chonk,bfs,kron26,64,3,0.10314,ok
clang-plain,bfs,kron26,64,4,0.09855,ok
clang-plainje,bfs,kron26,64,4,0.10138,ok
clang-chonk,bfs,kron26,64,4,0.10303,ok
clang-plain,bfs,kron26,64,5,0.10403,ok
clang-plainje,bfs,kron26,64,5,0.11141,ok
clang-chonk,bfs,kron26,64,5,0.10797,ok
clang-plain,bfs,kron26,64,6,0.10359,ok
clang-plainje,bfs,kron26,64,6,0.11350,ok
clang-chonk,bfs,kron26,64,6,0.11229,ok
clang-plain,bfs,kron26,64,7,0.09953,ok
clang-plainje,bfs,kron26,64,7,0.10446,ok
clang-chonk,bfs,kron26,64,7,0.10178,ok
clang-plain,bfs,kron26,64,8,0.10730,ok
clang-plainje,bfs,kron26,64,8,0.11563,ok
clang-chonk,bfs,kron26,64,8,0.11175,ok
clang-plain,bfs,kron26,64,9,0.12886,ok
clang-plainje,bfs,kron26,64,9,0.09903,ok
clang-chonk,bfs,kron26,64,9,0.10531,ok
clang-plain,bfs,kron26,64,10,0.09228,ok
clang-plainje,bfs,kron26,64,10,0.09876,ok
clang-chonk,bfs,kron26,64,10,0.11297,ok
clang-plain,bfs,kron26,64,11,0.10445,ok
clang-plainje,bfs,kron26,64,11,0.11560,ok
clang-chonk,bfs,kron26,64,11,0.09984,ok
clang-plain,bfs,kron26,64,12,0.11363,ok
clang-plainje,bfs,kron26,64,12,0.09615,ok
clang-chonk,bfs,kron26,64,12,0.10935,ok
clang-plain,bfs,kron26,64,13,0.11053,ok
clang-plainje,bfs,kron26,64,13,0.11329,ok
clang-chonk,bfs,kron26,64,13,0.11562,ok
clang-plain,bfs,kron26,64,14,0.10362,ok
clang-plainje,bfs,kron26,64,14,0.11195,ok
clang-chonk,bfs,kron26,64,14,0.10540,ok
clang-plain,bfs,kron26,64,15,0.09588,ok
clang-plainje,bfs,kron26,64,15,0.10404,ok
clang-chonk,bfs,kron26,64,15,0.11684,ok
clang-plain,bfs,kron26,64,16,0.11845,ok
clang-plainje,bfs,kron26,64,16,0.09855,ok
clang-chonk,bfs,kron26,64,16,0.09667,ok
clang-plain,bfs,kron26,64,17,0.10145,ok
clang-plainje,bfs,kron26,64,17,0.12175,ok
clang-chonk,bfs,kron26,64,17,0.11680,ok
clang-plain,bfs,kron26,64,18,0.10107,ok
clang-plainje,bfs,kron26,64,18,0.09685,ok
clang-chonk,bfs,kron26,64,18,0.10001,ok
clang-plain,bfs,kron26,64,19,0.11678,ok
clang-plainje,bfs,kron26,64,19,0.11577,ok
clang-chonk,bfs,kron26,64,19,0.10611,ok
clang-plain,bfs,kron26,64,20,0.10083,ok
clang-plainje,bfs,kron26,64,20,0.11066,ok
clang-chonk,bfs,kron26,64,20,0.11341,ok
clang-plain,bfs,kron26,64,21,0.12103,ok
clang-plainje,bfs,kron26,64,21,0.11335,ok
clang-chonk,bfs,kron26,64,21,0.09639,ok
clang-plain,bfs,kron26,64,22,0.10342,ok
clang-plainje,bfs,kron26,64,22,0.11963,ok
clang-chonk,bfs,kron26,64,22,0.10629,ok
clang-plain,bfs,kron26,64,23,0.10801,ok
clang-plainje,bfs,kron26,64,23,0.11885,ok
clang-chonk,bfs,kron26,64,23,0.10301,ok
clang-plain,bfs,kron26,64,24,0.11819,ok
clang-plainje,bfs,kron26,64,24,0.10579,ok
clang-chonk,bfs,kron26,64,24,0.11140,ok
clang-plain,bfs,kron26,64,25,0.13233,ok
clang-plainje,bfs,kron26,64,25,0.11359,ok
clang-chonk,bfs,kron26,64,25,0.10550,ok
clang-plain,bfs,kron26,64,26,0.11371,ok
clang-plainje,bfs,kron26,64,26,0.14785,ok
clang-chonk,bfs,kron26,64,26,0.09911,ok
clang-plain,bfs,kron26,64,27,0.10637,ok
clang-plainje,bfs,kron26,64,27,0.12100,ok
clang-chonk,bfs,kron26,64,27,0.11211,ok
clang-plain,bfs,kron26,64,28,0.12229,ok
clang-plainje,bfs,kron26,64,28,0.12883,ok
clang-chonk,bfs,kron26,64,28,0.11405,ok
clang-plain,bfs,kron26,64,29,0.09580,ok
clang-plainje,bfs,kron26,64,29,0.12176,ok
clang-chonk,bfs,kron26,64,29,0.11077,ok
clang-plain,bfs,kron26,64,30,0.10218,ok
clang-plainje,bfs,kron26,64,30,0.11181,ok
clang-chonk,bfs,kron26,64,30,0.10382,ok
clang-plain,bfs,kron26,64,31,0.11249,ok
clang-plainje,bfs,kron26,64,31,0.11020,ok
clang-chonk,bfs,kron26,64,31,0.11288,ok
clang-plain,bfs,kron26,64,32,0.08925,ok
clang-plainje,bfs,kron26,64,32,0.10435,ok
clang-chonk,bfs,kron26,64,32,0.10551,ok
clang-plain,bfs,kron26,64,33,0.10116,ok
clang-plainje,bfs,kron26,64,33,0.12624,ok
clang-chonk,bfs,kron26,64,33,0.11528,ok
clang-plain,bfs,kron26,64,34,0.11200,ok
clang-plainje,bfs,kron26,64,34,0.09912,ok
clang-chonk,bfs,kron26,64,34,0.11471,ok
clang-plain,bfs,kron26,64,35,0.11219,ok
clang-plainje,bfs,kron26,64,35,0.10072,ok
clang-chonk,bfs,kron26,64,35,0.10291,ok
clang-plain,bfs,kron26,64,36,0.11610,ok
clang-plainje,bfs,kron26,64,36,0.10330,ok
clang-chonk,bfs,kron26,64,36,0.09578,ok
clang-plain,bfs,kron26,64,37,0.11779,ok
clang-plainje,bfs,kron26,64,37,0.12501,ok
clang-chonk,bfs,kron26,64,37,0.10345,ok
clang-plain,bfs,kron26,64,38,0.12612,ok
clang-plainje,bfs,kron26,64,38,0.12805,ok
clang-chonk,bfs,kron26,64,38,0.11065,ok
clang-plain,bfs,kron26,64,39,0.10066,ok
clang-plainje,bfs,kron26,64,39,0.12577,ok
clang-chonk,bfs,kron26,64,39,0.11083,ok
clang-plain,bfs,kron26,64,40,0.10718,ok
clang-plainje,bfs,kron26,64,40,0.10135,ok
clang-chonk,bfs,kron26,64,40,0.12298,ok
clang-plain,bfs,kron26,64,41,0.11559,ok
clang-plainje,bfs,kron26,64,41,0.12347,ok
clang-chonk,bfs,kron26,64,41,0.11242,ok
clang-plain,bfs,kron26,64,42,0.11113,ok
clang-plainje,bfs,kron26,64,42,0.10116,ok
clang-chonk,bfs,kron26,64,42,0.10697,ok
clang-plain,bfs,kron26,64,43,0.09953,ok
clang-plainje,bfs,kron26,64,43,0.12080,ok
clang-chonk,bfs,kron26,64,43,0.10025,ok
clang-plain,bfs,kron26,64,44,0.12601,ok
clang-plainje,bfs,kron26,64,44,0.10970,ok
clang-chonk,bfs,kron26,64,44,0.10076,ok
clang-plain,bfs,kron26,64,45,0.09704,ok
clang-plainje,bfs,kron26,64,45,0.11715,ok
clang-chonk,bfs,kron26,64,45,0.09708,ok
clang-plain,bfs,kron26,64,46,0.11764,ok
clang-plainje,bfs,kron26,64,46,0.10957,ok
clang-chonk,bfs,kron26,64,46,0.10433,ok
clang-plain,bfs,kron26,64,47,0.10772,ok
clang-plainje,bfs,kron26,64,47,0.10135,ok
clang-chonk,bfs,kron26,64,47,0.11642,ok
clang-plain,bfs,kron26,64,48,0.11546,ok
clang-plainje,bfs,kron26,64,48,0.10655,ok
clang-chonk,bfs,kron26,64,48,0.12404,ok
clang-plain,bfs,kron26,64,49,0.11308,ok
clang-plainje,bfs,kron26,64,49,0.09939,ok
clang-chonk,bfs,kron26,64,49,0.10478,ok
clang-plain,bfs,kron26,64,50,0.11176,ok
clang-plainje,bfs,kron26,64,50,0.11931,ok
clang-chonk,bfs,kron26,64,50,0.11223,ok
clang-plain,cc,kron26,64,1,0.13478,ok
clang-plainje,cc,kron26,64,1,0.13504,ok
clang-chonk,cc,kron26,64,1,0.13093,ok
clang-plain,cc,kron26,64,2,0.11271,ok
clang-plainje,cc,kron26,64,2,0.13209,ok
clang-chonk,cc,kron26,64,2,0.13232,ok
clang-plain,cc,kron26,64,3,0.13562,ok
clang-plainje,cc,kron26,64,3,0.11300,ok
clang-chonk,cc,kron26,64,3,0.12292,ok
clang-plain,cc,kron26,64,4,0.12963,ok
clang-plainje,cc,kron26,64,4,0.12099,ok
clang-chonk,cc,kron26,64,4,0.13055,ok
clang-plain,cc,kron26,64,5,0.11959,ok
clang-plainje,cc,kron26,64,5,0.12827,ok
clang-chonk,cc,kron26,64,5,0.13411,ok
clang-plain,cc,kron26,64,6,0.12858,ok
clang-plainje,cc,kron26,64,6,0.13606,ok
clang-chonk,cc,kron26,64,6,0.12235,ok
clang-plain,cc,kron26,64,7,0.13542,ok
clang-plainje,cc,kron26,64,7,0.13265,ok
clang-chonk,cc,kron26,64,7,0.13389,ok
clang-plain,cc,kron26,64,8,0.12083,ok
clang-plainje,cc,kron26,64,8,0.12626,ok
clang-chonk,cc,kron26,64,8,0.11296,ok
clang-plain,cc,kron26,64,9,0.13112,ok
clang-plainje,cc,kron26,64,9,0.13312,ok
clang-chonk,cc,kron26,64,9,0.12402,ok
clang-plain,cc,kron26,64,10,0.12758,ok
clang-plainje,cc,kron26,64,10,0.13364,ok
clang-chonk,cc,kron26,64,10,0.12869,ok
clang-plain,cc,kron26,64,11,0.12561,ok
clang-plainje,cc,kron26,64,11,0.13683,ok
clang-chonk,cc,kron26,64,11,0.11473,ok
clang-plain,cc,kron26,64,12,0.13202,ok
clang-plainje,cc,kron26,64,12,0.11886,ok
clang-chonk,cc,kron26,64,12,0.12849,ok
clang-plain,cc,kron26,64,13,0.12653,ok
clang-plainje,cc,kron26,64,13,0.13163,ok
clang-chonk,cc,kron26,64,13,0.12924,ok
clang-plain,cc,kron26,64,14,0.12973,ok
clang-plainje,cc,kron26,64,14,0.12091,ok
clang-chonk,cc,kron26,64,14,0.12828,ok
clang-plain,cc,kron26,64,15,0.12282,ok
clang-plainje,cc,kron26,64,15,0.13408,ok
clang-chonk,cc,kron26,64,15,0.13174,ok
clang-plain,cc,kron26,64,16,0.12363,ok
clang-plainje,cc,kron26,64,16,0.12965,ok
clang-chonk,cc,kron26,64,16,0.11392,ok
clang-plain,cc,kron26,64,17,0.12817,ok
clang-plainje,cc,kron26,64,17,0.13778,ok
clang-chonk,cc,kron26,64,17,0.11895,ok
clang-plain,cc,kron26,64,18,0.13480,ok
clang-plainje,cc,kron26,64,18,0.13167,ok
