config,app,input,threads,run,time_s,status
clang-plain,bfs,urand22,16,1,0.01352,ok
clang-plainje,bfs,urand22,16,1,0.01336,ok
clang-chonk,bfs,urand22,16,1,0.01352,ok
clang-plain,bfs,urand22,16,2,0.01334,ok
clang-plainje,bfs,urand22,16,2,0.01340,ok
clang-chonk,bfs,urand22,16,2,0.01346,ok
clang-plain,bfs,urand22,16,3,0.01332,ok
clang-plainje,bfs,urand22,16,3,0.01307,ok
clang-chonk,bfs,urand22,16,3,0.01307,ok
clang-plain,bfs,urand22,16,4,0.01325,ok
clang-plainje,bfs,urand22,16,4,0.01336,ok
clang-chonk,bfs,urand22,16,4,0.01336,ok
clang-plain,bfs,urand22,16,5,0.01334,ok
clang-plainje,bfs,urand22,16,5,0.01317,ok
clang-chonk,bfs,urand22,16,5,0.01466,ok
clang-plain,bfs,urand22,16,6,0.01355,ok
clang-plainje,bfs,urand22,16,6,0.01325,ok
clang-chonk,bfs,urand22,16,6,0.01356,ok
clang-plain,bfs,urand22,16,7,0.01342,ok
clang-plainje,bfs,urand22,16,7,0.01342,ok
clang-chonk,bfs,urand22,16,7,0.01361,ok
clang-plain,bfs,urand22,16,8,0.01337,ok
clang-plainje,bfs,urand22,16,8,0.01325,ok
clang-chonk,bfs,urand22,16,8,0.01339,ok
clang-plain,bfs,urand22,16,9,0.01334,ok
clang-plainje,bfs,urand22,16,9,0.01346,ok
clang-chonk,bfs,urand22,16,9,0.01337,ok
clang-plain,bfs,urand22,16,10,0.01346,ok
clang-plainje,bfs,urand22,16,10,0.01506,ok
clang-chonk,bfs,urand22,16,10,0.01322,ok
clang-plain,bfs,urand22,16,1,0.01596,ok
clang-plainje,bfs,urand22,16,1,0.01648,ok
clang-chonk,bfs,urand22,16,1,0.01617,ok
clang-plain,bfs,urand22,16,2,0.01605,ok
clang-plainje,bfs,urand22,16,2,0.01631,ok
clang-chonk,bfs,urand22,16,2,0.01611,ok
clang-plain,bfs,urand22,16,3,0.01684,ok
clang-plainje,bfs,urand22,16,3,0.01583,ok
clang-chonk,bfs,urand22,16,3,0.01654,ok
clang-plain,bfs,urand22,16,4,0.01708,ok
clang-plainje,bfs,urand22,16,4,0.01609,ok
clang-chonk,bfs,urand22,16,4,0.01609,ok
clang-plain,bfs,urand22,16,5,0.01571,ok
clang-plainje,bfs,urand22,16,5,0.01691,ok
clang-chonk,bfs,urand22,16,5,0.01621,ok
clang-plain,bfs,urand22,16,6,0.01644,ok
clang-plainje,bfs,urand22,16,6,0.01641,ok
clang-chonk,bfs,urand22,16,6,0.01642,ok
clang-plain,bfs,urand22,16,7,0.01637,ok
clang-plainje,bfs,urand22,16,7,0.01632,ok
clang-chonk,bfs,urand22,16,7,0.01648,ok
clang-plain,bfs,urand22,16,8,0.01613,ok
clang-plainje,bfs,urand22,16,8,0.01572,ok
clang-chonk,bfs,urand22,16,8,0.01691,ok
clang-plain,bfs,urand22,16,9,0.01601,ok
clang-plainje,bfs,urand22,16,9,0.01696,ok
clang-chonk,bfs,urand22,16,9,0.01663,ok
clang-plain,bfs,urand22,16,10,0.01620,ok
clang-plainje,bfs,urand22,16,10,0.01623,ok
clang-chonk,bfs,urand22,16,10,0.01619,ok
clang-plain,bfs,urand22,16,1,0.01620,ok
clang-plainje,bfs,urand22,16,1,0.01610,ok
clang-chonk,bfs,urand22,16,1,0.01686,ok
clang-plain,bfs,urand22,16,2,0.01731,ok
clang-plainje,bfs,urand22,16,2,0.01614,ok
clang-chonk,bfs,urand22,16,2,0.01639,ok
clang-plain,bfs,urand22,16,3,0.01695,ok
clang-plainje,bfs,urand22,16,3,0.01625,ok
clang-chonk,bfs,urand22,16,3,0.01623,ok
clang-plain,bfs,urand22,16,4,0.01619,ok
clang-plainje,bfs,urand22,16,4,0.01632,ok
clang-chonk,bfs,urand22,16,4,0.01688,ok
clang-plain,bfs,urand22,16,5,0.01557,ok
clang-plainje,bfs,urand22,16,5,0.01587,ok
clang-chonk,bfs,urand22,16,5,0.01632,ok
clang-plain,bfs,urand22,16,6,0.01599,ok
clang-plainje,bfs,urand22,16,6,0.01612,ok
clang-chonk,bfs,urand22,16,6,0.01614,ok
clang-plain,bfs,urand22,16,7,0.01685,ok
clang-plainje,bfs,urand22,16,7,0.01598,ok
clang-chonk,bfs,urand22,16,7,0.01675,ok
clang-plain,bfs,urand22,16,8,0.01620,ok
clang-plainje,bfs,urand22,16,8,0.01591,ok
clang-chonk,bfs,urand22,16,8,0.01617,ok
clang-plain,bfs,urand22,16,9,0.01632,ok
clang-plainje,bfs,urand22,16,9,0.01591,ok
clang-chonk,bfs,urand22,16,9,0.01577,ok
clang-plain,bfs,urand22,16,10,0.01624,ok
clang-plainje,bfs,urand22,16,10,0.01621,ok
clang-chonk,bfs,urand22,16,10,0.01637,ok
